Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
86,3323,3/28/2022,PUTING BELIUNG,Kec. Bansari  Ds. Bansar Ds. Mojosar Kec. Kledung Ds. Tuksari  Ds. Kalirejo Ds. Paponan,TEMANGGUNG,JAWA TENGAH,,Hujan intensitas tinggi disertai angin kencang,0,0,0,0,0,0,0
87,3308,3/28/2022,PUTING BELIUNG,Kec. Windusari Ds. Windusari  Kec. Candimulyo Ds. Sidomulyo Ds. Tempak Kec. Tegalrejo Desa Ngasem  Desa Tampingan Kec. Borobudur  Desa Bigaran  Kec. Mertoyudan  Desa Banyurojo Desa Donorojo  Desa Mertoyudan Desa Sukorejo Desa Bondowoso Kec. Bandongan Desa Kalegen Desa Gandusari  Desa Trasan Desa Kebonagung Desa Tonoboyo Kec. Kaliangkrik Desa Giriwarno  Desa Beseran,MAGELANG,JAWA TENGAH,,Hujan intensitas tinggi disertai angin kencang,0,0,0,41,0,3,1
88,1804,3/28/2022,PUTING BELIUNG,Kec. Raman Ds. Rejo Binangun,LAMPUNG TIMUR,LAMPUNG,,Telah terjadi hujan deras dengan intensitas curah hujan tinggi disertai angin kencang,0,0,0,8,0,0,0
89,3505,3/27/2022,PUTING BELIUNG,Kec. Wonodadi Ds. Tawangrejo,BLITAR,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,1,0,0,0
90,3514,3/27/2022,PUTING BELIUNG,Kec. Pohjentrek Ds. Sukorejo,PASURUAN,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,2,0,0,0
91,3203,3/27/2022,PUTING BELIUNG,Kec. Pagelaran Ds. Selagedang Kec. Sukanagara Ds. Sukarame,CIANJUR,JAWA BARAT,,Hujan dengan intensitas lebat disertai angin puting beliung,0,0,0,5,0,0,0
92,3271,3/27/2022,PUTING BELIUNG,Kec. Ciomas. Ds. Pasir Kuda,KOTA BOGOR,JAWA BARAT,,Hujan deras disertai angin kencang pada malam hari,0,0,0,1,0,0,0
93,7322,3/27/2022,PUTING BELIUNG,Kec. Tanalili  Ds. Munte Ds. Patila,LUWU UTARA,SULAWESI SELATAN,,Telah terjadi hujan deras dengan intensitas curah hujan tinggi disertai angin kencang,0,0,0,5,0,0,0
94,1804,3/27/2022,PUTING BELIUNG,Kec. Batanghari Nuban I Ds. Kedaton II Taholo,LAMPUNG TIMUR,LAMPUNG,,Telah terjadi hujan deras dengan intensitas curah hujan tinggi disertai angin kencang,0,0,0,4,0,0,0
95,3207,3/27/2022,PUTING BELIUNG,Kec. Sukadana Ds. Sukadana,CIAMIS,JAWA BARAT,,Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,0,0,0
96,7325,3/27/2022,PUTING BELIUNG,Kec. Angkona Ds. Solo Kec.Burau Ds. Benteng,LUWU TIMUR,SULAWESI SELATAN,,Hujan dengan intensitas lebat disertai angin kencang,0,0,0,1,0,0,0
97,3301,3/27/2022,PUTING BELIUNG,Kec. Wanareja Ds. Majingklak,CILACAP,JAWA TENGAH,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,5,0,0,0
98,3522,3/26/2022,PUTING BELIUNG,Kec. Ngraho Ds. Pandan,BOJONEGORO,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,30,0,0,1
99,1971,3/26/2022,PUTING BELIUNG,Jl.Depati Hamzah RT 007 RW002 Semabung Lama,KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,,,0,0,0,1,0,0,0
100,1903,3/26/2022,PUTING BELIUNG,Kec. Kelapa  Ds. Sinar Sari,BANGKA BARAT,KEPULAUAN BANGKA BELITUNG,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,47,0,2,1
101,1906,3/26/2022,PUTING BELIUNG,Kec. Manggar Ds. Baru,BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,1,0,0,0
102,1901,3/26/2022,PUTING BELIUNG,Kec. Merawang  Ds. Baturusa,BANGKA,KEPULAUAN BANGKA BELITUNG,,Dipicu oleh intensitas curah hujan yang tinggi disertai angin kencang,0,0,0,125,0,6,1
